IsValid,X,Y,ROI,Colour_group,N_in_clust,Area,Radius,Hue,Saturation,Rmean,Gmean,Bmean,Rsd,Gsd,Bsd
1,1505.5,1454,1,0,3,416,12,248,40,39.5,38.0192,51.7476,14.4329,24.5482,27.2917
1,1511,1438,1,0,3,88,6,250,29,45.4091,43.3068,54.0341,22.0452,35.1974,33.3481
1,420.741,1447.9,1,0,2,1360,20,318,28,50.35,39.9882,47.3978,31.7219,26.3401,26.7156
1,468,1364,1,0,3,135,9,340,3,114.83,111.63,113.096,8.63087,5.97213,10.1699
1,443,1348,1,0,3,123,7,0,0,113,112.772,113.48,5.6047,5.6762,6.9937
1,1075,994,1,0,2,26,4,326,22,45.4615,37.6923,42.4231,6.25672,4.19578,5.33388
1,559.956,976.062,1,0,5,307,12,326,21,46.3257,38.6938,42.7785,7.16268,6.22373,6.81387
1,531.61,969.012,1,0,5,369,13,330,23,47.5122,40.3469,44.0542,8.9773,8.53449,8.76639
1,548.5,961.5,1,0,5,92,6,330,17,49.4674,43.1848,46.25,9.90829,6.86798,7.65554
1,899,599,1,0,2,83,6,330,19,59.4699,50.9759,54.6265,8.9658,6.08477,7.14623
1,908.5,561,1,0,2,54,5,346,22,55.8519,46.537,49.0926,5.42387,4.53141,4.59665
1,1207,507,1,0,2,252,10,338,20,55.6349,47.8175,51,11.9679,9.34846,9.61523
1,712.5,1436.5,1,0,1,134,7,2,27,128.59,105.455,103.754,41.6336,18.013,11.565
1,871,572,1,0,1,56,6,330,18,60.3393,51.8571,56.375,8.24144,5.32777,7.05499
